<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20190101;000000;69.7045000
USDRUB;D;20190102;000000;68.9165000
USDRUB;D;20190103;000000;68.7099000
USDRUB;D;20190104;000000;67.5415000
USDRUB;D;20190105;000000;67.6321000
USDRUB;D;20190106;000000;68.1750000
USDRUB;D;20190107;000000;66.6696000
USDRUB;D;20190108;000000;66.9198000
USDRUB;D;20190109;000000;66.7473000
USDRUB;D;20190110;000000;66.8545000
USDRUB;D;20190111;000000;66.8571000
USDRUB;D;20190112;000000;66.8887000
USDRUB;D;20190113;000000;66.8683000
USDRUB;D;20190114;000000;66.9800000
USDRUB;D;20190115;000000;66.9527000
USDRUB;D;20190116;000000;66.3266000
USDRUB;D;20190117;000000;66.3215000
USDRUB;D;20190118;000000;66.1866000
USDRUB;D;20190119;000000;66.2130000
USDRUB;D;20190120;000000;66.1447000
USDRUB;D;20190121;000000;66.3768000
USDRUB;D;20190122;000000;66.5150000
USDRUB;D;20190123;000000;66.0603000
USDRUB;D;20190124;000000;65.7346000
USDRUB;D;20190125;000000;65.9380000
USDRUB;D;20190126;000000;66.0045000
USDRUB;D;20190127;000000;66.5531000
USDRUB;D;20190128;000000;66.2540000
USDRUB;D;20190129;000000;66.0080000
USDRUB;D;20190130;000000;65.4597000
USDRUB;D;20190131;000000;65.3415000
USDRUB;D;20190201;000000;65.4415000
USDRUB;D;20190202;000000;65.4623000
USDRUB;D;20190203;000000;65.4740000
USDRUB;D;20190204;000000;65.5785000
USDRUB;D;20190205;000000;65.6030000
USDRUB;D;20190206;000000;65.8716000
USDRUB;D;20190207;000000;65.8771000
USDRUB;D;20190208;000000;65.7237000
USDRUB;D;20190209;000000;65.5811000
USDRUB;D;20190210;000000;65.4607000
USDRUB;D;20190211;000000;65.7753000
USDRUB;D;20190212;000000;65.8077000
USDRUB;D;20190213;000000;66.4911000
USDRUB;D;20190214;000000;66.6482000
USDRUB;D;20190215;000000;66.2698000
USDRUB;D;20190216;000000;66.3109000
USDRUB;D;20190217;000000;66.1304000
USDRUB;D;20190218;000000;66.1976000
USDRUB;D;20190219;000000;65.7714000
USDRUB;D;20190220;000000;65.6666000
USDRUB;D;20190221;000000;65.5255000
USDRUB;D;20190222;000000;65.3501000
USDRUB;D;20190223;000000;65.3770000
